direction,bytes,decrypt_us,encrypt_us,total_us,read_calls
forward,2432,294,7,303,1
forward,2560,150,7,159,1
forward,2688,23,7,32,1
forward,2816,71,7,80,1
forward,2944,192,7,201,1
forward,128,5,3,10,1
forward,256,101,4,107,1
forward,384,5,4,10,1
forward,512,5,4,11,1
forward,640,5,4,11,1
forward,768,114,4,120,1
forward,896,6,4,12,1
forward,1024,121,6,129,1
forward,1152,76,5,83,1
forward,1280,21,5,28,1
forward,1408,127,5,134,1
forward,1536,158,6,166,1
forward,1664,124,6,132,1
forward,1792,95,6,103,1
forward,1920,18,6,26,1
forward,2048,98,8,107,1
forward,2176,143,10,156,1
forward,2304,24,10,37,1
forward,2432,10,7,18,1
forward,2560,9,7,17,1
forward,2688,54,10,65,1
forward,2816,10,21,33,1
forward,2944,107,8,118,1
forward,128,5,4,11,1
forward,256,5,3,10,1
forward,384,5,4,10,1
forward,512,92,6,100,1
forward,640,6,4,11,1
forward,768,6,4,12,1
forward,896,103,5,109,1
forward,1024,16,5,22,1
forward,1152,134,5,141,1
forward,1280,7,5,13,1
forward,1408,115,6,123,1
forward,1536,166,6,174,1
forward,1664,18,6,25,1
forward,1792,166,6,173,1
forward,1920,88,6,95,1
forward,2048,109,6,117,1
forward,2176,29,6,37,1
forward,2304,201,7,209,1
forward,2432,118,8,128,1
forward,2560,78,7,87,1
forward,2688,293,8,303,1
forward,2816,384,8,393,1
forward,2944,378,9,388,1
forward,128,227,4,232,1
forward,256,5,4,10,1
forward,384,5,4,10,1
forward,512,5,4,11,1
forward,640,162,4,168,1
forward,768,129,5,136,1
forward,896,244,5,251,1
forward,1024,85,5,91,1
forward,1152,310,6,318,1
forward,1280,142,5,149,1
forward,1408,352,6,360,1
forward,1536,23,6,30,1
forward,1664,349,6,357,1
forward,1792,362,6,370,1
forward,1920,18,6,26,1
forward,2048,618,6,626,1
forward,2176,29,7,38,1
forward,2304,568,7,576,1
forward,2432,28,7,37,1
forward,2560,791,8,801,1
forward,2688,72,7,80,1
forward,2816,368,8,378,1
forward,2944,312,8,321,1
forward,128,332,4,338,1
forward,256,5,4,10,1
forward,384,5,4,10,1
forward,512,5,4,11,1
forward,640,91,4,97,1
forward,768,201,5,208,1
forward,896,6,5,13,1
forward,1024,346,5,353,1
forward,1152,142,5,149,1
forward,1280,344,5,351,1
forward,1408,7,5,14,1
forward,1536,347,6,354,1
forward,1664,359,6,366,1
forward,1792,29,6,37,1
forward,1920,469,7,478,1
forward,2048,104,6,112,1
forward,2176,192,7,201,1
forward,2304,529,7,538,1
forward,2432,28,7,37,1
forward,2560,591,9,602,1
forward,2688,338,7,347,1
forward,2816,79,7,88,1
forward,2944,294,15,312,1
forward,128,231,4,237,1
forward,256,5,4,10,1
forward,384,5,4,10,1
forward,512,5,4,11,1
forward,640,190,4,197,1
forward,768,123,5,130,1
forward,896,311,3,316,1
forward,1024,4,3,9,1
forward,1152,418,3,423,1
forward,1280,121,4,126,1
forward,1408,245,4,250,1
forward,1536,135,4,140,1
forward,1664,354,4,360,1
forward,1792,246,4,251,1
forward,1920,115,4,121,1
forward,2048,586,4,592,1
forward,2176,108,8,117,1
forward,2304,621,6,629,1
forward,2432,22,6,30,1
forward,2560,742,8,751,1
